名称,PLC地址,数剧类型,功能
输送线看门狗心跳,DB1000.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
输送线当前运行状态,DB1000.DBW2,WORD ,01自动运行，02手动模式、03故障模式。。。。。
区域报警,DB1000.DBW4,WORD ,"BIT 0：上货区域拉绳报警
BIT 1：六面扫区域报警
BIT 2：X光机报警
BIT 3：分拣机报警
BIT 4：急停1
BIT 5：分拣机1报警
BIT 6：分拣机2报警
BIT 7：分拣机3报警                                                                                    BIT 10：分拣机4报警
BIT 11：分拣机5报警
BIT 12：分拣机6报警
BIT 13：
BIT 14：急停9
BIT 15：主柜急停  
BIT 15：输送线故障
                                                                               "
电机运行信号,DB1000.DBW6,WORD ,"BIT 0：01001电机运行
BIT 1: 01002电机运行
BIT 2: 01003电机运行
BIT 3: 01004电机运行
BIT 4: 01005电机运行
BIT 5: 01006电机运行
BIT 6: 01007电机运行
BIT 7: 01008电机运行
BIT 8: 01009电机运行
BIT 9: 01010电机运行
BIT 10: 01011电机运行
BIT 11: 01012电机运行
BIT 12: 01013电机运行
BIT 13: 01014电机运行
BIT 14: 01015电机运行
BIT 15: 01016电机运行                                                                            "
电机运行信号,DB1000.DBW8,WORD ,"BIT 0：01017电机运行
BIT 1: 01018电机运行
BIT 2: 01019电机运行
BIT 3: 01020电机运行
BIT 4: 01021电机运行
BIT 5: 01022电机运行
BIT 6: 01023电机运行
BIT 7: 01024电机运行
BIT 8: 01025电机运行
BIT 9: 01026电机运行
BIT 10: 01027电机运行
BIT 11: 01028电机运行
BIT 12: 01029电机运行
BIT 13: 01030电机运行
BIT 14: 备用
BIT 15: 备用                                                                            "
电机运行信号,DB1000.DBW10,WORD ,"BIT 0：分拣1左执行
BIT 1: 分拣机1右执行
BIT 2: 分拣机2左执行
BIT 3: 分拣机2右执行
BIT 4: 分拣机3左执行
BIT 5: 分拣机3右执行
BIT 6: 分拣机4左执行
BIT 7: 分拣机4右执行
BIT 8: 分拣机5左执行
BIT 9: 分拣机5右执行
BIT 10:分拣机6左执行）
BIT 11: 分拣机6右执行）
                                                               "
光电信号--1,DB1000.DBW12,WORD ,"BIT 0：01001电机光电
BIT 1: 01002电机光电
BIT 2: 01013电机光电1
BIT 3: 01004电机光电
BIT 4: 01005电机光电
BIT 5: 01006电机光电
BIT 6: 01007电机光电
BIT 7: 01008电机光电
BIT 8: 01009电机光电
BIT 9: 01010电机光电
BIT 10: 01011电机光电
BIT 11: 01012电机光电
BIT 12: 01013电机光电2
BIT 13: 01014电机光电
BIT 14: 01015电机光电
BIT 15: 01016电机光电                                                                        "
光电信号--2,DB1000.DBW14,WORD ,"BIT 0：01017电机光电
BIT 1：01018电机光电
BIT 2: 01019电机光电
BIT 3: 01020电机光电
BIT 4: 01021电机光电
BIT 5: 01022电机光电
BIT 6: 01023电机光电
BIT 7: 01024电机光电
BIT 8: 01025电机光电
BIT 9: 01026电机光电
BIT 10: 01027电机光电
BIT 11: 01028电机光电
BIT 12: 01029电机光电
BIT 13: 01030电机光电
BIT 14: 01031电机光电
BIT 15: 01032电机光电                                                                          "
对接WCS信号,DB1000.DBW16,WORD ,"BIT 0：六面扫请求下发目的编码
BIT 1: 备用
BIT 2: 备用
BIT 3: 备用
BIT 4: 备用
BIT 5: 备用
BIT 6: 备用
BIT 7: 备用
BIT 8: 备用
BIT 9: 备用 
BIT 10: 备用
BIT 11: 备用
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用
BIT 15: 备用                                                                        "
对接WCS信号,DB1000.DBW18,WORD ,"BIT 0: 分拣口1呼叫空托
BIT 1: 分拣口2呼叫空托
BIT 2: 分拣口3呼叫空托
BIT 3: 分拣口4呼叫空托
BIT 4: 分拣口5呼叫空托
BIT 5: 分拣口6呼叫空托
BIT 6: 分拣口7呼叫空托
BIT 7: 分拣口8呼叫空托
BIT 8: 分拣口9呼叫空托
BIT 9: 分拣口10呼叫空托
BIT 10: 分拣口11呼叫空托
BIT 11: 分拣口12呼叫空托
BIT 12: 备用
BIT 13: 备用
BIT 14: 备用   
BIT 15: 备用                                                       "
反馈WCS信号,DB1000.DBW20,WORD ,"BIT 0：  分拣口01进货成功
BIT 1：  分拣口02进货成功
BIT 2：  分拣口03进货成功
BIT 3：  分拣口04进货成功
BIT 4：  分拣口05进货成功
BIT 5：  分拣口06进货成功
BIT 6：  分拣口07进货成功
BIT 7：  分拣口08进货成功
BIT 8：  分拣口09进货成功
BIR 9：  分拣口10进货成功
BIT 10：  分拣口11进货成功
BIT 11：  分拣口12进货成功
BIT 12：  分拣口13进货成功
BIT 13：  分拣口14进货成功
BIT 14：  分拣口15进货成功   
        
     "
反馈WCS写虚拟ID,DB1001.DBB300-729,CHAR,"DB1001.DBB300-329：  分拣口01进货ID
DB1001.DBB330-359：  分拣口02进货ID
DB1001.DBB360-389：  分拣口03进货ID
DB1001.DBB390-419：  分拣口04进货ID
DB1001.DBB420-449：  分拣口05进货ID
DB1001.DBB450-479：  分拣口06进货ID
DB1001.DBB480-509：  分拣口07进货ID
DB1001.DBB520-549：  分拣口08进货ID
DB1001.DBB550-579：  分拣口09进货ID
DB1001.DBB580-609：  分拣口10进货ID
DB1001.DBB610-639：  分拣口11进货ID
DB1001.DBB640-669：  分拣口012进货ID
DB1001.DBB670-699：  分拣口013进货ID
DB1001.DBB700-729： 备用

     "
